filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAT54077_05dfcd85_9.fast5	d3047a29-c8c6-40a4-912c-5ad9978d4023	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	10	3	2517.319750	1.218500	974	TRUE	2517.462250	860	1.076000	409	10.152810	2.889277	98.496277	12.566767	98.496277	12.566767
FAT54077_05dfcd85_9.fast5	120cf1de-4e73-4aee-9286-10ba3b7c54ca	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	428	1	2366.175500	5.033750	4027	TRUE	2366.244250	3972	4.965000	1665	10.068390	2.845601	102.232346	13.076230	102.232346	13.076230
FAT54077_05dfcd85_9.fast5	9a822490-8600-4e59-b889-5d29d855c0a2	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	41	4	2464.218000	1.457500	1166	TRUE	2464.315500	1088	1.360000	485	9.956082	2.825001	90.175041	12.057303	90.175041	12.057303
FAT54077_05dfcd85_9.fast5	ffaa1d1c-11f1-4c12-a8f9-bc222f834fe3	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	175	1	2477.904500	1.842250	1473	FALSE	2477.955750	1432	1.791000	488	4.789999	2.369611	85.929512	10.528913	85.929512	10.528913
FAT54077_05dfcd85_9.fast5	29a442c0-6024-41a0-97a5-67a28ac31d31	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	490	1	2405.729750	1.324750	1059	TRUE	2405.748500	1044	1.306000	513	9.916663	2.884463	92.382721	11.887482	92.382721	11.887482
FAT54077_05dfcd85_9.fast5	8da7c759-5734-4dc2-b848-994b23e1ba50	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	379	2	2406.225500	1.304250	1043	FALSE	2406.338000	953	1.191750	548	4.747772	2.672158	88.986298	9.679807	88.986298	9.679807
FAT54077_05dfcd85_9.fast5	6938e0e9-3b67-4965-b6cd-d86eb4c07081	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	401	4	2522.500500	1.374250	1099	TRUE	2522.578000	1037	1.296750	462	12.388961	2.901085	95.948959	10.528913	95.948959	10.528913
FAT54077_05dfcd85_9.fast5	62807478-7b7d-4b2c-977a-e010d00ff2d2	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	96	4	2413.099500	1.530250	1224	FALSE	2413.119500	1208	1.510250	531	7.795235	2.751031	87.627724	10.868555	87.627724	10.868555
FAT54077_05dfcd85_9.fast5	c53e74d9-8de4-4248-8838-332671921af2	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	2	3	2361.746500	1.347750	1078	TRUE	2361.761500	1066	1.332750	511	9.792362	2.877167	90.175041	11.887482	90.175041	11.887482
FAT54077_05dfcd85_9.fast5	70bf35a7-2e82-4388-a7be-52a556cf10dc	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	47	3	2384.365000	3.506000	2804	TRUE	2384.371250	2799	3.499750	1136	11.807679	2.850604	91.703430	12.227124	91.703430	12.227124
FAT54077_05dfcd85_9.fast5	29dae03c-9786-4b44-b213-b96d4c814c8b	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	321	1	2401.256750	1.315000	1052	TRUE	2401.314250	1006	1.257500	471	13.008760	2.919004	99.005745	12.227124	99.005745	12.227124
FAT54077_05dfcd85_9.fast5	203fa4d4-8e7d-4ec6-8289-225de0a49471	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	441	4	2380.596000	1.353000	1082	TRUE	2380.659750	1031	1.289250	519	10.718083	2.956772	96.458427	12.227124	96.458427	12.227124
FAT54077_05dfcd85_9.fast5	e5cec082-cb04-4b4e-a2bd-c5b70fae869d	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	10	3	2427.701750	1.730250	1384	TRUE	2427.794250	1310	1.637750	506	11.191850	2.756030	92.212898	11.208198	92.212898	11.208198
FAT54077_05dfcd85_9.fast5	75595ab4-d94e-4654-a1ba-e82e9ca1c386	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	456	3	2473.978500	1.519750	1215	TRUE	2474.073500	1139	1.424750	506	8.737037	2.763092	97.986816	11.547840	97.986816	11.547840
FAT54077_05dfcd85_9.fast5	18076c20-7867-4a3f-9b6b-1118fa2b6719	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	41	4	2502.258500	1.693000	1354	TRUE	2502.324750	1301	1.626750	516	12.082267	2.773735	86.948441	11.378018	86.948441	11.378018
FAT54077_05dfcd85_9.fast5	48d7c32e-62b4-4a95-9329-457c569497e6	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	378	4	2462.180500	1.553750	1243	TRUE	2462.209250	1220	1.525000	510	8.664787	2.739922	96.118782	11.547840	96.118782	11.547840
FAT54077_05dfcd85_9.fast5	559d4859-f90b-40e7-9bd1-62ff70ddd0bc	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	380	3	2518.206750	3.194750	2555	FALSE	2518.246750	2523	3.154750	574	6.561894	2.327306	93.231827	10.359092	93.231827	10.359092
FAT54077_05dfcd85_9.fast5	a9aea769-fedf-4fda-9136-bf9b82245bf3	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	344	3	2395.787000	1.505250	1204	TRUE	2395.839500	1162	1.452750	539	9.766903	2.857556	88.986298	11.378018	88.986298	11.378018
FAT54077_05dfcd85_9.fast5	2a45f88c-fd4d-4d22-a429-bd68de7f69c1	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	20	4	2428.285750	1.380250	1104	TRUE	2428.305750	1088	1.360250	503	9.666901	2.853762	92.212898	10.868555	92.212898	10.868555
FAT54077_05dfcd85_9.fast5	d408fd59-01a2-491b-a0ca-d1055f03a90b	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	37	4	2442.629500	1.513000	1210	TRUE	2442.738250	1123	1.404250	514	10.323372	2.886738	86.099335	11.038376	86.099335	11.038376
FAT54077_05dfcd85_9.fast5	cf95deec-24f7-4656-805b-e5419481b2c2	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	37	4	2360.306250	1.378250	1102	TRUE	2360.335000	1079	1.349500	469	11.116925	2.839733	83.042557	10.698734	83.042557	10.698734
FAT54077_05dfcd85_9.fast5	3fb3e8a6-9b27-4c0a-a4db-550acbf797d4	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	238	3	2410.303000	2.405750	1924	FALSE	2410.391750	1853	2.317000	505	5.903632	2.330978	93.401642	10.868555	93.401642	10.868555
FAT54077_05dfcd85_9.fast5	a2c1887b-0062-4ced-b891-10690c5e3a47	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	465	3	2523.584000	1.475000	1180	TRUE	2523.646500	1130	1.412500	517	8.613964	2.830117	92.382721	12.057303	92.382721	12.057303
FAT54077_05dfcd85_9.fast5	649bc168-8b61-4a97-8013-69b25e4dda47	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	49	3	2388.774500	1.447250	1157	TRUE	2388.790750	1144	1.431000	502	11.485146	2.866262	90.344864	12.566767	90.344864	12.566767
FAT54077_05dfcd85_9.fast5	652f2bf1-0a33-4adc-94e8-600a36c15999	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	114	4	2441.722500	1.941000	1552	TRUE	2441.756250	1525	1.907250	666	11.551090	2.832869	90.344864	11.378018	90.344864	11.378018
FAT54077_05dfcd85_9.fast5	97bd21a6-f16b-4fa6-a642-7f90bc9329e5	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	159	2	2360.092250	1.399000	1119	TRUE	2360.116000	1100	1.375250	510	12.843736	2.926968	90.854324	11.208198	90.854324	11.208198
FAT54077_05dfcd85_9.fast5	96d5ebba-783c-4ff6-a65f-531d42bd90c9	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	46	3	2377.372500	1.616750	1293	TRUE	2377.523750	1172	1.465500	482	8.766895	2.751069	91.363792	10.698734	91.363792	10.698734
FAT54077_05dfcd85_9.fast5	eaf7b40c-fe66-490a-b00b-06a8935869dd	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	418	4	2385.999250	3.157000	2525	TRUE	2386.064250	2473	3.092000	1171	8.692024	2.917675	110.893227	11.208198	110.893227	11.208198
FAT54077_05dfcd85_9.fast5	8f1eaa41-7134-418d-9f25-e50a2541f547	05dfcd8585e57fd2887992c9d9e8388d3c93f4df	0	37	4	2363.419500	1.334000	1067	FALSE	2363.467000	1029	1.286500	506	7.244935	2.791150	84.401123	10.868555	84.401123	10.868555
