taxa,aln,clade,member,source,sample_id,host,region,sample_id,year
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_304_NB13,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_304_NB13,Domestic dog,5,304,2018
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_311_NB14,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_311_NB14,Domestic dog,5,311,2018
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/GU358653,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,GU358653,,outgroup,GU358653,na
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/GU647092,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,GU647092,,outgroup,GU647092,na
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/KX148259,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,KX148259,Domestic dog,unknown,KX148259,1994
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/KX148260,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,KX148260,Domestic dog,unknown,KX148260,2004
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/KX148261,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,KX148261,Domestic dog,unknown,KX148261,1994
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/KX148262,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,KX148262,Domestic dog,unknown,KX148262,1994
alignment/AL_WG_ASIAN_SEA4/member/ncbi-curated/KX148263,alignment,AL_WG_ASIAN_SEA4,member,ncbi-curated,KX148263,Domestic dog,unknown,KX148263,1994
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_RADDL1-16-154_NB04,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_RADDL1-16-154_NB04,Domestic dog,1,RADDL1-16-154,2016
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_RADDL3-1038_NB03,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_RADDL3-1038_NB03,Domestic dog,3,RADDL3-1038,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_RADDL3-1045_NB02,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_RADDL3-1045_NB02,Domestic dog,3,RADDL3-1045,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_RADDL3-15-172_NB01,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_RADDL3-15-172_NB01,Domestic dog,3,RADDL3-15-172,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_RADDL3-845_NB06,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_RADDL3-845_NB06,Domestic dog,3,RADDL3-845,2016
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_RADDL5-005_NB08,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_RADDL5-005_NB08,Domestic dog,5,RADDL5-005,2015
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_REGION_5_2018-100_BC07,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_REGION_5_2018-100_BC07,Domestic dog,5,REGION_5_2018-100,2018
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_REGION_5_2018-50_BC08,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_REGION_5_2018-50_BC08,Domestic dog,5,REGION_5_2018-50,2018
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_REGION_5_2019-1_BC06,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_REGION_5_2019-1_BC06,Domestic dog,5,REGION_5_2019-1,2019
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_workshop_phl_REGION_5_2019-13_BC05,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_workshop_phl_REGION_5_2019-13_BC05,Domestic dog,5,REGION_5_2019-13,2019
alignment/AL_WG_ASIAN_SEA4/member/speedier-philippines/ritm_archive2_phl_Z-12-001_NB05,alignment,AL_WG_ASIAN_SEA4,member,this paper,ritm_archive2_phl_Z-12-001_NB05,Domestic dog,4A,Z-12-001,2012
