OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo,Shape_Length,Shape_Area
1,Polygon,Abra,PH140100000,<Null>,<Null>,<Null>,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.640967,0.334223
2,Polygon,Agusan del Norte,PH160200000,<Null>,<Null>,<Null>,Region XIII ,PH160000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,3.674955,0.220065
3,Polygon,Agusan del Sur,PH160300000,<Null>,<Null>,<Null>,Region XIII ,PH160000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.222636,0.693968
4,Polygon,Aklan,PH060400000,<Null>,<Null>,<Null>,Region VI ,PH060000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,4.626091,0.139664
5,Polygon,Albay,PH050500000,<Null>,<Null>,<Null>,Region V ,PH050000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,6.507841,0.205939
6,Polygon,Antique,PH060600000,<Null>,<Null>,<Null>,Region VI ,PH060000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,6.045478,0.226467
7,Polygon,Apayao,PH148100000,<Null>,<Null>,<Null>,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,3.20701,0.340498
8,Polygon,Aurora,PH037700000,<Null>,<Null>,<Null>,Region III ,PH030000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,6.75566,0.255767
9,Polygon,Basilan,PH150700000,<Null>,<Null>,<Null>,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,6.925803,0.09273
10,Polygon,Bataan,PH030800000,<Null>,<Null>,<Null>,Region III ,PH030000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.661168,0.104455
11,Polygon,Batanes,PH020900000,<Null>,<Null>,<Null>,Region II ,PH020000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.140564,0.017443
12,Polygon,Batangas,PH041000000,<Null>,<Null>,<Null>,Region IV-A ,PH040000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.989473,0.267317
13,Polygon,Benguet,PH141100000,<Null>,<Null>,<Null>,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,2.194979,0.239829
14,Polygon,Biliran,PH087800000,<Null>,<Null>,<Null>,Region VIII ,PH080000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,1.780698,0.044083
15,Polygon,Bohol,PH071200000,<Null>,<Null>,<Null>,Region VII ,PH070000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,9.713699,0.327235
16,Polygon,Bukidnon,PH101300000,<Null>,<Null>,<Null>,Region X ,PH100000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,5.019051,0.767607
17,Polygon,Bulacan,PH031400000,<Null>,<Null>,<Null>,Region III ,PH030000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,3.276276,0.227702
18,Polygon,Cagayan,PH021500000,<Null>,<Null>,<Null>,Region II ,PH020000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,10.518335,0.750946
19,Polygon,Camarines Norte,PH051600000,<Null>,<Null>,<Null>,Region V ,PH050000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,6.14392,0.177588
20,Polygon,Camarines Sur,PH051700000,<Null>,<Null>,<Null>,Region V ,PH050000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,12.538797,0.441585
21,Polygon,Camiguin,PH101800000,<Null>,<Null>,<Null>,Region X ,PH100000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,0.701328,0.019952
22,Polygon,Capiz,PH061900000,<Null>,<Null>,<Null>,Region VI ,PH060000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,3.897668,0.21957
23,Polygon,Catanduanes,PH052000000,<Null>,<Null>,<Null>,Region V ,PH050000000,Philippines (the),PH,15/06/2016,30/01/2018,<Null>,4.387798,0.122082
